Pair ID,Schedule Type,Order Number,Scene Number,Actors,Equipment,Location,Coordinates,Duration
1,Schedule Plan 1,1,Scene 1,"Taylor Miller, Alex Taylor, Alex Taylor","Camera G, Microphone E, Drone H, Gimbal C, Boom Mic I",Schlieren,"(47.3962, 8.4515)",2h
1,Schedule Plan 1,2,Scene 2,"Morgan Miller, Morgan Brown, Jordan Moore, Jamie Johnson","Microphone I, Camera C, Camera J, Microphone G, Boom Mic E",Altstetten,"(47.3914, 8.4886)",3h
1,Schedule Plan 1,3,Scene 3,"Taylor Moore, Jamie Wilson, Alex Brown, Skyler Jones","Boom Mic J, Gimbal B",Zürich Hardbrücke,"(47.385, 8.5172)",2h
1,Schedule Plan 1,4,Scene 4,"River Jones, Morgan Jones, Casey Moore, River Taylor","Drone D, Microphone I, Camera A",Zürich Bahnhofstrasse,"(47.3733, 8.5377)",2h
1,Schedule Plan 1,5,Scene 5,"Taylor Williams, Taylor Brown","Gimbal C, Camera C, Microphone F, Camera C",Wollishofen,"(47.3407, 8.531)",1h
1,Schedule Plan 2,1,Scene 5,"Taylor Williams, Taylor Brown","Gimbal C, Camera C, Microphone F, Camera C",Wollishofen,"(47.3407, 8.531)",1h
1,Schedule Plan 2,2,Scene 1,"Taylor Miller, Alex Taylor, Alex Taylor","Camera G, Microphone E, Drone H, Gimbal C, Boom Mic I",Schlieren,"(47.3962, 8.4515)",2h
1,Schedule Plan 2,3,Scene 3,"Taylor Moore, Jamie Wilson, Alex Brown, Skyler Jones","Boom Mic J, Gimbal B",Zürich Hardbrücke,"(47.385, 8.5172)",2h
1,Schedule Plan 2,4,Scene 2,"Morgan Miller, Morgan Brown, Jordan Moore, Jamie Johnson","Microphone I, Camera C, Camera J, Microphone G, Boom Mic E",Altstetten,"(47.3914, 8.4886)",3h
1,Schedule Plan 2,5,Scene 4,"River Jones, Morgan Jones, Casey Moore, River Taylor","Drone D, Microphone I, Camera A",Zürich Bahnhofstrasse,"(47.3733, 8.5377)",2h
2,Schedule Plan 1,1,Scene 1,"Sam Miller, Casey Smith, Sam Smith","Camera J, Camera J, Microphone A",Schlieren,"(47.3962, 8.4515)",3h
2,Schedule Plan 1,2,Scene 2,"Skyler Johnson, Skyler Brown, Skyler Brown, Casey Johnson","Drone H, Microphone H, Gimbal C, Camera C",Altstetten,"(47.3914, 8.4886)",3h
2,Schedule Plan 1,3,Scene 3,"River Smith, Skyler Moore, Morgan Moore","Microphone E, Boom Mic H, Camera I, Gimbal I",Zürich Hardbrücke,"(47.385, 8.5172)",1h
2,Schedule Plan 1,4,Scene 4,"Alex Davis, Jamie Smith, Casey Smith","Microphone C, Boom Mic B",Zürich Bahnhofstrasse,"(47.3733, 8.5377)",3h
2,Schedule Plan 1,5,Scene 5,"Morgan Miller, Taylor Williams","Gimbal D, Drone B, Microphone G, Drone I",Wollishofen,"(47.3407, 8.531)",2h
2,Schedule Plan 2,1,Scene 2,"Skyler Johnson, Skyler Brown, Skyler Brown, Casey Johnson","Drone H, Microphone H, Gimbal C, Camera C",Altstetten,"(47.3914, 8.4886)",3h
2,Schedule Plan 2,2,Scene 4,"Alex Davis, Jamie Smith, Casey Smith","Microphone C, Boom Mic B",Zürich Bahnhofstrasse,"(47.3733, 8.5377)",3h
2,Schedule Plan 2,3,Scene 1,"Sam Miller, Casey Smith, Sam Smith","Camera J, Camera J, Microphone A",Schlieren,"(47.3962, 8.4515)",3h
2,Schedule Plan 2,4,Scene 5,"Morgan Miller, Taylor Williams","Gimbal D, Drone B, Microphone G, Drone I",Wollishofen,"(47.3407, 8.531)",2h
2,Schedule Plan 2,5,Scene 3,"River Smith, Skyler Moore, Morgan Moore","Microphone E, Boom Mic H, Camera I, Gimbal I",Zürich Hardbrücke,"(47.385, 8.5172)",1h
3,Schedule Plan 1,1,Scene 1,"Sam Williams, Taylor Smith, Riley Wilson","Microphone J, Boom Mic I",Schlieren,"(47.3962, 8.4515)",1h
3,Schedule Plan 1,2,Scene 2,"Casey Moore, River Johnson, Alex Johnson","Drone D, Camera C, Microphone C",Altstetten,"(47.3914, 8.4886)",2h
3,Schedule Plan 1,3,Scene 3,"Alex Miller, River Taylor","Camera G, Camera H, Boom Mic E",Zürich Hardbrücke,"(47.385, 8.5172)",3h
3,Schedule Plan 1,4,Scene 4,"Morgan Davis, Jamie Williams","Camera C, Camera C, Camera E",Zürich Bahnhofstrasse,"(47.3733, 8.5377)",3h
3,Schedule Plan 1,5,Scene 5,"Skyler Davis, Alex Wilson, Taylor Williams, Riley Taylor","Drone F, Camera B, Drone B",Wollishofen,"(47.3407, 8.531)",3h
3,Schedule Plan 2,1,Scene 4,"Morgan Davis, Jamie Williams","Camera C, Camera C, Camera E",Zürich Bahnhofstrasse,"(47.3733, 8.5377)",3h
3,Schedule Plan 2,2,Scene 1,"Sam Williams, Taylor Smith, Riley Wilson","Microphone J, Boom Mic I",Schlieren,"(47.3962, 8.4515)",1h
3,Schedule Plan 2,3,Scene 2,"Casey Moore, River Johnson, Alex Johnson","Drone D, Camera C, Microphone C",Altstetten,"(47.3914, 8.4886)",2h
3,Schedule Plan 2,4,Scene 5,"Skyler Davis, Alex Wilson, Taylor Williams, Riley Taylor","Drone F, Camera B, Drone B",Wollishofen,"(47.3407, 8.531)",3h
3,Schedule Plan 2,5,Scene 3,"Alex Miller, River Taylor","Camera G, Camera H, Boom Mic E",Zürich Hardbrücke,"(47.385, 8.5172)",3h
4,Schedule Plan 1,1,Scene 1,"Casey Taylor, Skyler Miller, Taylor Wilson","Camera J, Microphone E, Camera E, Gimbal D",Schlieren,"(47.3962, 8.4515)",1h
4,Schedule Plan 1,2,Scene 2,"Casey Johnson, Alex Wilson, Sam Smith","Gimbal J, Camera C",Altstetten,"(47.3914, 8.4886)",3h
4,Schedule Plan 1,3,Scene 3,"Morgan Wilson, Taylor Brown, Riley Jones","Gimbal E, Microphone I, Camera C",Zürich Hardbrücke,"(47.385, 8.5172)",1h
4,Schedule Plan 1,4,Scene 4,"Alex Williams, Morgan Wilson","Camera C, Boom Mic B",Zürich Bahnhofstrasse,"(47.3733, 8.5377)",3h
4,Schedule Plan 1,5,Scene 5,"Sam Johnson, River Brown, Jordan Smith","Gimbal J, Camera G, Drone J, Drone G",Wollishofen,"(47.3407, 8.531)",2h
4,Schedule Plan 2,1,Scene 5,"Sam Johnson, River Brown, Jordan Smith","Gimbal J, Camera G, Drone J, Drone G",Wollishofen,"(47.3407, 8.531)",2h
4,Schedule Plan 2,2,Scene 2,"Casey Johnson, Alex Wilson, Sam Smith","Gimbal J, Camera C",Altstetten,"(47.3914, 8.4886)",3h
4,Schedule Plan 2,3,Scene 4,"Alex Williams, Morgan Wilson","Camera C, Boom Mic B",Zürich Bahnhofstrasse,"(47.3733, 8.5377)",3h
4,Schedule Plan 2,4,Scene 3,"Morgan Wilson, Taylor Brown, Riley Jones","Gimbal E, Microphone I, Camera C",Zürich Hardbrücke,"(47.385, 8.5172)",1h
4,Schedule Plan 2,5,Scene 1,"Casey Taylor, Skyler Miller, Taylor Wilson","Camera J, Microphone E, Camera E, Gimbal D",Schlieren,"(47.3962, 8.4515)",1h
5,Schedule Plan 1,1,Scene 1,"Skyler Wilson, Jamie Smith, River Miller","Microphone E, Camera J, Camera E, Gimbal J",Schlieren,"(47.3962, 8.4515)",3h
5,Schedule Plan 1,2,Scene 2,"Casey Miller, Alex Davis, Taylor Taylor, Jamie Jones","Drone D, Microphone B, Gimbal G",Altstetten,"(47.3914, 8.4886)",2h
5,Schedule Plan 1,3,Scene 3,"Jordan Brown, Casey Miller, Skyler Moore, Casey Miller","Camera J, Gimbal G",Zürich Hardbrücke,"(47.385, 8.5172)",1h
5,Schedule Plan 1,4,Scene 4,"River Davis, Riley Brown","Microphone I, Microphone A, Boom Mic G, Camera F",Zürich Bahnhofstrasse,"(47.3733, 8.5377)",3h
5,Schedule Plan 1,5,Scene 5,"Jamie Taylor, Sam Miller, Casey Davis, Riley Moore","Boom Mic E, Gimbal A",Wollishofen,"(47.3407, 8.531)",2h
5,Schedule Plan 2,1,Scene 1,"Skyler Wilson, Jamie Smith, River Miller","Microphone E, Camera J, Camera E, Gimbal J",Schlieren,"(47.3962, 8.4515)",3h
5,Schedule Plan 2,2,Scene 5,"Jamie Taylor, Sam Miller, Casey Davis, Riley Moore","Boom Mic E, Gimbal A",Wollishofen,"(47.3407, 8.531)",2h
5,Schedule Plan 2,3,Scene 4,"River Davis, Riley Brown","Microphone I, Microphone A, Boom Mic G, Camera F",Zürich Bahnhofstrasse,"(47.3733, 8.5377)",3h
5,Schedule Plan 2,4,Scene 2,"Casey Miller, Alex Davis, Taylor Taylor, Jamie Jones","Drone D, Microphone B, Gimbal G",Altstetten,"(47.3914, 8.4886)",2h
5,Schedule Plan 2,5,Scene 3,"Jordan Brown, Casey Miller, Skyler Moore, Casey Miller","Camera J, Gimbal G",Zürich Hardbrücke,"(47.385, 8.5172)",1h
6,Schedule Plan 1,1,Scene 1,"Jamie Brown, River Taylor","Boom Mic C, Boom Mic G, Camera B, Camera F",Schlieren,"(47.3962, 8.4515)",3h
6,Schedule Plan 1,2,Scene 2,"River Taylor, Casey Miller","Gimbal F, Boom Mic F, Camera H, Drone B, Drone C",Altstetten,"(47.3914, 8.4886)",1h
